Title,Artist,File Path,City,Decade,ImageURL
Agua,DJ Lynnwood,Rio/RioMusic/00s Music/Agua.mp3,Rio De Janeiro,2000s,https://i.scdn.co/image/ab67616d0000b2730de4460aaffc0c74bb8b15f6
I Don’t Need Your Love,Angelina,Rio/RioMusic/10s Music/IDontNeedYourLove.mp3,Rio De Janeiro,2010s,https://i.scdn.co/image/ab67616d0000b2731478888ededc0137f481fd3f
La Mezcla,Michel Cleis,Rio/RioMusic/10s Music/LaMezcla.mp3,Rio De Janeiro,2010s,https://i.scdn.co/image/ab67616d0000b27323954f5314cc81f5d1bc11b9
"Whatz Up, Whatz Up",Playa Poncho,Rio/RioMusic/10s Music/WhatzUpWhatzUp.mp3,Rio De Janeiro,2010s,https://i.scdn.co/image/ab67616d0000b2731a0a3d7e1a0d8c4c5b56276d
Headbangers,DJ Trajic,Rio/RioMusic/10s Music/Headbangers.mp3,Rio De Janeiro,2010s,https://i.scdn.co/image/ab67616d0000b2731c1e11c53192f115e7a79250
In De Ghetto,David Morales,Rio/RioMusic/10s Music/InDeGhetto.mp3,Rio De Janeiro,2010s,https://i.scdn.co/image/ab67616d0000b273a6c27997d917e7003a4a97da
Latin Swing,Johnny Z,Rio/RioMusic/10s Music/LatinSwing.mp3,Rio De Janeiro,2010s,
Muevelo,El General,Rio/RioMusic/10s Music/Muevelo.mp3,Rio De Janeiro,2010s,https://i.scdn.co/image/ab67616d0000b273a908ed6eeeb286b8775a1724
Guallando,Fulanito,Rio/RioMusic/10s Music/Guallando.mp3,Rio De Janeiro,2010s,https://i.scdn.co/image/ab67616d0000b2731fdb680c2dc31bf80e9c34e9
Cada Vez,Negrocan,Rio/RioMusic/10s Music/CadaVez.mp3,Rio De Janeiro,2010s,https://i.scdn.co/image/ab67616d0000b273ace42bee48a5280ccb3b8f15
Boriqua Posse,Rare Arts,Rio/RioMusic/10s Music/BoriquaPosse.mp3,Rio De Janeiro,2010s,https://i.scdn.co/image/ab67616d0000b2734288b3c6ad3965da450f753d
Funky Guitar,Tc 1992,Stockholm/StockholmMusic/80s Music/FunkyGuitar.mp3,Stockholm,1980s,https://i.scdn.co/image/ab67616d0000b273c64fe614f39977a3c40304f5
Dirty Cash (Money Talks),The Adventures Of Stevie V,Stockholm/StockholmMusic/80s Music/DirtyCash.mp3,Stockholm,1980s,https://i.scdn.co/image/ab67616d0000b2735893643e11d44e3ef569479c
Is It All over My Face?,Loose Joints,Stockholm/StockholmMusic/80s Music/IsItAllOverMyFace.mp3,Stockholm,1980s,https://i.scdn.co/image/ab67616d0000b2737990b1dc480973cd80fc2fe1
Respect,Adeva,Stockholm/StockholmMusic/80s Music/Respect.mp3,Stockholm,1980s,https://i.scdn.co/image/ab67616d0000b27307710964fb49028c13b45f9a
Talkin’ All That Jazz,Stetsasonic,Stockholm/StockholmMusic/80s Music/TalkinAllThatJazz.mp3,Stockholm,1980s,https://i.scdn.co/image/ab67616d0000b273947b2df58bb53f8c4334ccca
Deep In Vogue,Malcolm McLaren,Stockholm/StockholmMusic/80s Music/DeepInVogue.mp3,Stockholm,1980s,https://i.scdn.co/image/ab67616d0000b2732be629f8adb30ea4ac54b9f1
Love Injection,Trussel,Stockholm/StockholmMusic/80s Music/LoveInjection.mp3,Stockholm,1980s,https://i.scdn.co/image/ab67616d0000b2737c9958194b676ea08466061f
Pull Up To The Bumper,Grace Jones,Stockholm/StockholmMusic/80s Music/PullUpToTheBumper.mp3,Stockholm,1980s,https://i.scdn.co/image/ab67616d0000b27375a8b4d86fb3a88401b38282
I Found Love In You,Rhyze,Stockholm/StockholmMusic/80s Music/IFoundLoveInYou.mp3,Stockholm,1980s,https://i.scdn.co/image/ab67616d0000b27304c96dff439e7d8f6c2d4a3f
Sweet Dreams (Are Made Of This),Eurythmics,Stockholm/StockholmMusic/80s Music/SweetDreams.mp3,Stockholm,1980s,https://i.scdn.co/image/ab67616d0000b273b3994c94dfb241923664bb4d
Let the Beat Go On,Dr. Alban,Stockholm/StockholmMusic/90s Music/LetTheBeatGoOn.mp3,Stockholm,1990s,https://i.scdn.co/image/ab67616d0000b273f387383b763114c709b8a84c
Clubhopping,Rob n Raz,Stockholm/StockholmMusic/90s Music/Clubhopping.mp3,Stockholm,1990s,https://i.scdn.co/image/ab67616d0000b273a09151188bdc41cd3a907337
Mutoid Waste,Magoria,Stockholm/StockholmMusic/90s Music/MutoidWaste.mp3,Stockholm,1990s,https://i.scdn.co/image/ab67616d0000b27369c55cbd61a97ab4b84ddb71
