Title,Artist,File Path,City,Decade
Groove Is in the Heart,Deee-Lite,LosAngeles/LosAngelesMusic/90s Music/GrooveIsInTheHeart.mp3,Los Angeles,1990s
100% Pure Love,Crystal Waters,LosAngeles/LosAngelesMusic/90s Music/100PercentPureLove.mp3,Los Angeles,1990s
Everybody Everybody,Black Box,LosAngeles/LosAngelesMusic/90s Music/EverybodyEverybody.mp3,Los Angeles,1990s
Vogue,Madonna,LosAngeles/LosAngelesMusic/90s Music/Vogue.mp3,Los Angeles,1990s
"Harder, Better, Faster, Stronger",Daft Punk,LosAngeles/LosAngelesMusic/00s Music/HarderBetterFasterStronger.mp3,Los Angeles,2000s
Sweet Disposition,The Temper Trap,LosAngeles/LosAngelesMusic/00s Music/SweetDisposition.mp3,Los Angeles,2000s
The Weekend,Michael Gray,LosAngeles/LosAngelesMusic/00s Music/TheWeekend.mp3,Los Angeles,2000s
Heads Will Roll,Yeah Yeah Yeahs,LosAngeles/LosAngelesMusic/00s Music/HeadsWillRoll.mp3,Los Angeles,2000s
Bulletproof,La Roux,LosAngeles/LosAngelesMusic/00s Music/Bulletproof.mp3,Los Angeles,2000s
World Hold On,Bob Sinclar,LosAngeles/LosAngelesMusic/00s Music/WorldHoldOn.mp3,Los Angeles,2000s
Tell Me Why,Supermode,LosAngeles/LosAngelesMusic/00s Music/TellMeWhy.mp3,Los Angeles,2000s
Let Me Think About It,Ida Corr,LosAngeles/LosAngelesMusic/00s Music/LetMeThinkAboutIt.mp3,Los Angeles,2000s
My My My,Armand Van Helden,LosAngeles/LosAngelesMusic/00s Music/MyMyMy.mp3,Los Angeles,2000s
Memories,David Guetta,LosAngeles/LosAngelesMusic/00s Music/Memories.mp3,Los Angeles,2000s
Chunky,Format:B,LosAngeles/LosAngelesMusic/10s Music/Chunky.mp3,Los Angeles,2010s
Spectrum,Zedd,LosAngeles/LosAngelesMusic/10s Music/Spectrum.mp3,Los Angeles,2010s
