Title,Artist,File Path,City,Decade
Lejanía,Lisandro Meza,Bogota/BogotaMusic/1980s/Lejania.mp3,Bogota,1980s
No Me Arrepiento de Este Amor,Gilda,Bogota/BogotaMusic/1980s/NoMeArrepientoDeEsteAmor.mp3,Bogota,1980s
Qué Bello,Sonora Tropicana,Bogota/BogotaMusic/1980s/QueBello.mp3,Bogota,1980s
Yo Tomo Licor,Amar Azul,Bogota/BogotaMusic/1980s/YoTomoLicor.mp3,Bogota,1980s
Nunca Me Faltes,Antonio Rios,Bogota/BogotaMusic/1980s/NuncaMeFaltes.mp3,Bogota,1980s
El Soy Yo,Samuray,Bogota/BogotaMusic/1980s/ElSoyYo.mp3,Bogota,1980s
Llorar,Los Socios Del Ritmo,Bogota/BogotaMusic/1990s/Llorar.mp3,Bogota,1990s
Tiene Espinas El Rosal,Grupo Canaveral De Humberto Pabon,Bogota/BogotaMusic/1990s/TieneEspinasElRosal.mp3,Bogota,1990s
El Liston De Tu Pelo,Los Angeles Azules,Bogota/BogotaMusic/1990s/ElListonDeTuPelo.mp3,Bogota,1990s
Piensa En Mi,Grupo Mojado,Bogota/BogotaMusic/1990s/PiensaEnMi.mp3,Bogota,1990s
Baila Esta Cumbia,Selena,Bogota/BogotaMusic/1990s/BailaEstaCumbia.mp3,Bogota,1990s
Tao Tao,Control,Bogota/BogotaMusic/1990s/TaoTao.mp3,Bogota,1990s
El Diario De Un Borracho,Aniceto Molina,Bogota/BogotaMusic/1990s/ElDiarioDeUnBorracho.mp3,Bogota,1990s
Muchachita Consentida,Rayito Colombiano,Bogota/BogotaMusic/1990s/MuchachitaConsentida.mp3,Bogota,1990s
Juana La Cubana,Fito Olivares,Bogota/BogotaMusic/1990s/JuanaLaCubana.mp3,Bogota,1990s
Los Caminos De La Vida,La Tropa Vallenata,Bogota/BogotaMusic/1990s/LosCaminosDeLaVida.mp3,Bogota,1990s
Como Te Voy A Olvidar,Los Angeles Azules,Bogota/BogotaMusic/2000s/ComoTeVoyAOlvidar.mp3,Bogota,2000s
Todo Me Gusta De Ti,Aaron,Bogota/BogotaMusic/2000s/TodoMeGustaDeTi.mp3,Bogota,2000s
Un Sueno,Los Angeles De Charly,Bogota/BogotaMusic/2000s/UnSueno.mp3,Bogota,2000s
Cumbia De La Cobra,Fito Olivares,Bogota/BogotaMusic/2000s/CumbiaDeLaCobra.mp3,Bogota,2000s
Rumba Cha-Cha-Cha,Grupo Kual?,Bogota/BogotaMusic/2000s/RumbaChaChaCha.mp3,Bogota,2000s
El Botecito,Los Hijos Del Pueblo,Bogota/BogotaMusic/2000s/ElBotecito.mp3,Bogota,2000s
Amor Regresa,Los Askis,Bogota/BogotaMusic/2000s/AmorRegresa.mp3,Bogota,2000s
Guaracha Sabrosona,Alberto Pedraza +,Bogota/BogotaMusic/2000s/GuarachaSabrosona.mp3,Bogota,2000s
Yo Soy Tu Maestro,Los Telez,Bogota/BogotaMusic/2000s/YoSoyTuMaestro.mp3,Bogota,2000s
Felicidad,Los Socios Del Ritmo,Bogota/BogotaMusic/2000s/Felicidad.mp3,Bogota,2000s
Nunca Es Suficiente,Los Angeles Azules,Bogota/BogotaMusic/2010s/NuncaEsSuficiente.mp3,Bogota,2010s
Oye Mujer,Raymix,Bogota/BogotaMusic/2010s/OyeMujer.mp3,Bogota,2010s
Cumbia Sampuesana,La Luz Roja De San Marcos,Bogota/BogotaMusic/2010s/CumbiaSampuesana.mp3,Bogota,2010s
Tus Jefes No Me Quieren,Grupo Ensamble,Bogota/BogotaMusic/2010s/TusJefesNoMeQuieren.mp3,Bogota,2010s
Que Te Vaya Bien,Grupo Jalado,Bogota/BogotaMusic/2010s/QueTeVayaBien.mp3,Bogota,2010s
Que Bello,La Sonora Dinamita,Bogota/BogotaMusic/2010s/QueBello.mp3,Bogota,2010s
Donde Estaras,ICC,Bogota/BogotaMusic/2010s/DondeEstaras.mp3,Bogota,2010s
No Me Llames Mas,Alcalde La Sonora,Bogota/BogotaMusic/2010s/NoMeLlamesMas.mp3,Bogota,2010s
El Colesterol,Fito Olivares,Bogota/BogotaMusic/2010s/ElColesterol.mp3,Bogota,2010s
Amor A Primera Vista,Los Angeles Azules,Bogota/BogotaMusic/2010s/AmorAPrimeraVista.mp3,Bogota,2010s
Ain’t Nobody Better,Inner City,London/LondonMusic/1980s/AintNobodyBetter.mp3,London,1980s
Back To Life,Soul II Soul,London/LondonMusic/1980s/BackToLife.mp3,London,1980s
Just Keep Rockin,Double Trouble,London/LondonMusic/1980s/JustKeepRockin.mp3,London,1980s
My Love Is Magic,Bäs Noir,London/LondonMusic/1980s/MyLoveIsMagic.mp3,London,1980s
Devotion,Ten City,London/LondonMusic/1980s/Devotion.mp3,London,1980s
Yeah Buddy,Royal House,London/LondonMusic/1980s/YeahBuddy.mp3,London,1980s
Get Busy,Mr. Lee,London/LondonMusic/1980s/GetBusy.mp3,London,1980s
I’ll House You,Jungle Brothers,London/LondonMusic/1980s/IllHouseYou.mp3,London,1980s
I’m Glad You Came To Me,Bäs Noir,London/LondonMusic/1980s/ImGladYouCameToMe.mp3,London,1980s
Love House,Samantha Fox,London/LondonMusic/1980s/LoveHouse.mp3,London,1980s
Friendly Pressure,Jhelisa,London/LondonMusic/1990s/FriendlyPressure.mp3,London,1990s
Bounce to the Beat,Todd Terry,London/LondonMusic/1990s/BounceToTheBeat.mp3,London,1990s
House of Love,Smooth Touch,London/LondonMusic/1990s/HouseOfLove.mp3,London,1990s
Throw Ya Hands Up,Ground 96,London/LondonMusic/1990s/ThrowYaHandsUp.mp3,London,1990s
RIP Groove,Double 99,London/LondonMusic/1990s/RIPGroove.mp3,London,1990s
Dancing For Heaven,Todd Edwards,London/LondonMusic/1990s/DancingForHeaven.mp3,London,1990s
Get Down - We Can Get Down,Groove Chronicles,London/LondonMusic/1990s/GetDownWeCanGetDown.mp3,London,1990s
Movin Too Fast,Romina Johnson,London/LondonMusic/1990s/MovinTooFast.mp3,London,1990s
Burning,MK,London/LondonMusic/1990s/Burning.mp3,London,1990s
A Little Bit Of Luck,DJ Luck & MC Neat,London/LondonMusic/1990s/ALittleBitOfLuck.mp3,London,1990s
Love Eviction,Quartzlock,London/LondonMusic/2000s/LoveEviction.mp3,London,2000s
Attention!,Commander Tom,London/LondonMusic/2000s/Attention.mp3,London,2000s
Sensitivity,The Shapeshifters,London/LondonMusic/2000s/Sensitivity.mp3,London,2000s
Pump It Up,Danzel,London/LondonMusic/2000s/PumpItUp.mp3,London,2000s
You’re The Reason,Wamdue Project,London/LondonMusic/2000s/YoureTheReason.mp3,London,2000s
Get Down,Jungle Brothers,London/LondonMusic/2000s/GetDown.mp3,London,2000s
Shut The Door,Todd Edwards,London/LondonMusic/2000s/ShutTheDoor.mp3,London,2000s
Bonkers,Dizzee Rascal,London/LondonMusic/2000s/Bonkers.mp3,London,2000s
Just Dance - Richard Vission Remix,Lady Gaga,London/LondonMusic/2000s/JustDanceRichardVissionRemix.mp3,London,2000s
Why Can’t You Free Some Time,Armand Van Helden,London/LondonMusic/2000s/WhyCantYouFreeSomeTime.mp3,London,2000s
White Noise,Disclosure,London/LondonMusic/2010s/WhiteNoise.mp3,London,2010s
Feel My Needs,WEISS,London/LondonMusic/2010s/FeelMyNeeds.mp3,London,2010s
My Love,Route 94,London/LondonMusic/2010s/MyLove.mp3,London,2010s
Fake ID,Riton,London/LondonMusic/2010s/FakeID.mp3,London,2010s
Say Something - Zac Samuel Remix,Karen Harding,London/LondonMusic/2010s/SaySomethingZacSamuelRemix.mp3,London,2010s
Young World,A.D.O.R,London/LondonMusic/2010s/YoungWorld.mp3,London,2010s
When A Fire Starts To Burn,Disclosure,London/LondonMusic/2010s/WhenAFireStartsToBurn.mp3,London,2010s
How Deep Is Your Love,Calvin Harris,London/LondonMusic/2010s/HowDeepIsYourLove.mp3,London,2010s
Upside Down,Eats Everything,London/LondonMusic/2010s/UpsideDown.mp3,London,2010s
Too Much For Me,SELKER,London/LondonMusic/2010s/TooMuchForMe.mp3,London,2010s
